Temperature,File,Rows,Columns,Missing Values,Duplicate Rows
25degC,552_Charge13.csv,209,15,209,1
25degC,552_Cap_1C.csv,393,15,393,2
25degC,552_Mixed6.csv,78106,15,78106,1
25degC,552_Mixed4.csv,80850,15,80850,0
25degC,552_Charge11.csv,209,15,209,3
40degC,556_Charge4.csv,209,15,209,3
40degC,556_Charge7.csv,209,15,209,2
40degC,555_Dis_0p5C.csv,318,15,318,2
40degC,556_LA92.csv,98637,15,98637,1
40degC,557_Charge9.csv,208,15,208,1
40degC,562_Charge11.csv,144,15,144,3
40degC,555_C20DisCh.csv,2342,15,2342,0
40degC,562_Charge12.csv,143,15,143,2
40degC,555_Dis_2C.csv,238,15,238,2
40degC,562_Charge13.csv,144,15,144,1
40degC,556_Mixed2.csv,78956,15,78956,1
40degC,556_HWFET.csv,55910,15,55910,1
40degC,556_Charge6.csv,209,15,209,2
40degC,556_Charge5.csv,209,15,209,2
40degC,555_HPPC.csv,44519,15,44519,217
40degC,557_Cap_1C.csv,369,15,369,2
40degC,556_Mixed1.csv,75341,15,75341,0
40degC,557_Charge10.csv,33,15,33,0
40degC,562_Charge10.csv,432,15,432,1
40degC,556_Charge3.csv,209,15,209,3
40degC,556_US06.csv,39961,15,39961,1
40degC,556_Charge1.csv,131,15,131,2
40degC,556_Charge2.csv,212,15,212,3
40degC,556_UDDS.csv,158956,15,158956,1
40degC,556_Charge8.csv,210,15,210,3
40degC,557_Mixed3.csv,67625,15,67625,0
40degC,562_Mixed6.csv,11761,15,11761,1
40degC,562_Charge16.csv,135,15,135,2
40degC,562_Mixed7.csv,7848,15,7848,1
40degC,562_Charge15.csv,144,15,144,2
40degC,562_PausCycl.csv,7925,15,7925,1
40degC,562_Charge14.csv,143,15,143,3
40degC,562_Mixed5.csv,13087,15,13087,1
40degC,562_Mixed8.csv,14385,15,14385,1
40degC,562_Mixed4.csv,11327,15,11327,1
n10degC,596_Charge3.csv,202,15,202,1
n10degC,604_Charge15.csv,201,15,201,2
n10degC,601_Charge8.csv,202,15,202,2
n10degC,593_Dis_0p5C.csv,302,15,302,2
n10degC,604_Charge13.csv,201,15,201,3
n10degC,593_C20DisCh.csv,2206,15,2206,1
n10degC,596_Charge4.csv,202,15,202,1
n10degC,604_Charge9.csv,204,15,204,2
n10degC,604_Charge10.csv,202,15,202,2
n10degC,593_Dis_2C.csv,219,15,219,2
n10degC,601_Mixed2.csv,65254,15,65254,1
n10degC,604_Charge14.csv,201,15,201,1
n10degC,602_Charge12.csv,201,15,201,2
n10degC,596_Charge1.csv,131,15,131,2
n10degC,596_UDDS.csv,123602,15,123602,1
n10degC,602_Cap_1C.csv,337,15,337,2
n10degC,602_Charge11.csv,202,15,202,1
n10degC,604_Charge17.csv,140,15,140,3
n10degC,604_PausCycl.csv,22150,15,22150,1
n10degC,601_Charge6.csv,201,15,201,2
n10degC,596_Charge5.csv,202,15,202,2
n10degC,596_Charge2.csv,204,15,204,2
n10degC,604_Mixed7.csv,55940,15,55940,1
n10degC,604_Mixed3.csv,55214,15,55214,0
n10degC,596_HWFET.csv,44903,15,44903,0
n10degC,593_HPPC.csv,40084,15,40084,183
n10degC,604_Charge16.csv,153,15,153,2
n10degC,596_Cap_1C.csv,341,15,341,2
n10degC,601_Charge7.csv,201,15,201,3
n10degC,602_Charge10.csv,203,15,203,1
n10degC,601_Mixed1.csv,62622,15,62622,1
n10degC,602_Mixed4.csv,65677,15,65677,4160
n10degC,596_LA92.csv,72098,15,72098,1
n10degC,602_Charge17.csv,131,15,131,3
n10degC,604_Mixed6.csv,55968,15,55968,1
n10degC,602_Mixed5.csv,60087,15,60087,1
n10degC,604_Mixed8.csv,67325,15,67325,0
n10degC,601_US06.csv,31913,15,31913,1
n20degC,607_Dis_0p5C.csv,283,15,283,1
n20degC,610_Charge4.csv,190,15,190,3
n20degC,607_Dis_2C.csv,199,15,199,3
n20degC,610_Charge2.csv,193,15,193,2
n20degC,610_LA92.csv,52485,15,52485,0
n20degC,610_Charge6.csv,191,15,191,2
n20degC,610_Charge1.csv,130,15,130,3
n20degC,610_Charge5.csv,190,15,190,2
n20degC,607_C20DisCh.csv,2150,15,2150,1
n20degC,610_Charge3.csv,190,15,190,0
n20degC,610_Charge8.csv,192,15,192,2
n20degC,610_Mixed1.csv,45343,15,45343,1
n20degC,610_Cap_1C.csv,270,15,270,2
n20degC,607_HPPC.csv,36067,15,36067,181
n20degC,610_HWFET.csv,33345,15,33345,0
n20degC,610_Charge7.csv,191,15,191,2
n20degC,611_Charge13.csv,190,15,190,3
n20degC,611_Mixed4.csv,46053,15,46053,1
n20degC,611_Charge11.csv,190,15,190,3
n20degC,611_Mixed3.csv,45163,15,45163,0
n20degC,611_Charge14.csv,190,15,190,3
n20degC,611_Mixed5.csv,45458,15,45458,1
n20degC,611_Charge15.csv,190,15,190,2
n20degC,610_Mixed2.csv,43043,15,43043,0
n20degC,611_Mixed8.csv,46763,15,46763,1
n20degC,610_UDDS.csv,81911,15,81911,1
n20degC,611_Mixed7.csv,40683,15,40683,1
n20degC,611_Charge9.csv,192,15,192,2
n20degC,611_Cap_1C.csv,264,15,264,1
n20degC,611_Charge17.csv,131,15,131,4
n20degC,610_US06.csv,27606,15,27606,1
n20degC,611_Mixed6.csv,44196,15,44196,1
n20degC,611_Charge12.csv,190,15,190,1
n20degC,611_Charge10.csv,191,15,191,3
n20degC,611_PausCycl.csv,16617,15,16617,0
